location_info,location_href,upload_id,date_text,date_time,date_title,main_text
Jackson Blvd,https://www.instagram.com/explore/locations/506772653/jackson-blvd/,komoreb_hanab,5월 10일,2021-05-10T14:20:49.000Z,2021년 5월 10일,"#피자 는 역시 #페퍼로니 #미국맛🤭 #아주맛있네요😋 #잭슨피자 #삼각지 #pizza #🍕 #pepperoni #pepperonipizza #foodstagram #피자맛집 #피자스타그램 #먹스타그램 #pizzalover
#nomnomnom #美味しい #ピザ #ピザ好き #페퍼로니피자 #피자추천 #페퍼로니딜라이트"
,,gxnwxx_7.27,5월 8일,2021-05-08T09:03:16.000Z,2021년 5월 8일,백만년만
모던뽀이,https://www.instagram.com/explore/locations/100359451380650/,modernbboy_jeju,3일 전,2021-07-28T09:18:01.000Z,2021년 7월 28일,"#모던뽀이
모던뽀이 꾸준한 인기메뉴
#페퍼로니피자

오늘같이 더운날 에어컨빵빵한 모뽀에서
한잔하세요~"
HDD,https://www.instagram.com/explore/locations/100767018834625/hdd/,jinny_58,6월 24일,2021-06-24T11:43:06.000Z,2021년 6월 24일,"성수동나들이
피자집왔는데 분위기 완전 힙하다🤭😣
피자 도우 완전쫄깃한데 테두리는 완전 바삭바삭한거 대박적😍
담엔 꼭 트러플포테이토 먹어볼테얏🤨"
성수동,https://www.instagram.com/explore/locations/900435633651424/,t_maaas,7일 전,2021-07-24T09:52:22.000Z,2021년 7월 24일,"#HDD
쫀맛탱 피자집 발견 🍕❤️
둘이서 먹기에 딱 좋은 피자 크기👭
도톰한데 바삭하고 딱 내 스타일✨"
래미안메가트리아,https://www.instagram.com/explore/locations/308496606187050/,csqs,6월 22일,2021-06-22T13:49:23.000Z,2021년 6월 22일,"패퍼로니는 짭짤해

#페퍼로니피자 #피자스톰 #안양메가트리아 #aoz #pizzapizzapizza"
,,tiberium,5월 9일,2021-05-09T05:11:30.000Z,2021년 5월 9일,오후는 그냥 적당히 쉬려고요… (청소는 저녁에 해야지) #피맥 #도미노 #도민호우 #페퍼로니피자 #두체스드부르고뉴 #벨지언레드레일 #플랜더스맥주 #리델 #먹스타그램
여름바캉스,https://www.instagram.com/explore/locations/101519088313947/,coffeeafterbeer,1일 전,2021-07-29T12:34:40.000Z,2021년 7월 29일,"피맥은 진리의 조합 🍕🍺 날이 더우니 주방파업으로 피자를 시켰습니다. 저희 가족은 토핑 가득 들어간 피자보다는, 클래식한 도미노 페퍼로니 씬피자를 좋아해요! 갓 배달온 핏짜 한입에 맥주한잔 곁들이면 환상✨
-
요즘 자꾸 시켜먹으라고 배달어플에서 할인쿠폰 주니 어째요. 시켜먹어야지 증말❤️ 무더운 집콕 여름 잘 버티고 계신가요🤭
-
#도미노피자 #피자 #페퍼로니피자 #맥주 #술스타그램 #온더테이블 #홈카페 #pizza #dominopizza #pepperonipizza #jmt"
,,jjang.tong,6월 16일,2021-06-16T10:38:23.000Z,2021년 6월 16일,"오랜만에 만든 핏자.
키워서 딴 바질잎 얹으니 볼만하네용...ㅎ

#페퍼로니피자 #핏자 #Pizza #습헤샬메뉴 #마토 #청담마토 #청담동와인바 #와인바"
,,wooori_son,9분 전,2021-07-31T11:59:28.000Z,2021년 7월 31일,"#역시먹방
#페퍼로니피자
#오븐에빠진닭
#치맥#피맥#치킨앤맥주"
,,yuryang_land,20분 전,2021-07-31T11:48:58.000Z,2021년 7월 31일,"⠀
⠀
부뱌스 🌟"
