location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,oneul__table,6월 14일,2021-06-14T11:55:04.000Z,2021년 6월 14일,"오늘의식탁
함박스테이크
.
수제버거 만든다고 잔뜩 고기반죽을 해놨으니
먹고 싶었던 함박스테이크를 오랫만에 했다
정성들여 한다고 한게
플레이팅도 사진도 맘에 안들어 무척 아쉽지만 정성 들인 만큼 식구들은 만족스럽게 먹는다
.
퇴근하는 아들도 더 신경이 쓰인다
아들 좋아하는 열무도 무치고
아삭이고추도 된장무침 하고
요즘 맛있는 오이도 영양부추랑 새콤하게 무쳐낸다
미처 담지못한 미역오이냉국까지~
.
원플레이트 지만
주방은 나물무친 볼이며 팬이 몇개가 나왔는지 설거지가 산더미🤣🤣
.
.
.
.
.
.
.
.
.
.
.
.
.
#집밥#집밥스타그램#온더테이블#플레이팅#요리스타그램#푸드스타그램#식단공유#요리#쿡스타그램#예쁜그릇#도자기그릇#밥상#홈쿡#홈메이드#요리하는여자#오늘의식탁#오늘테이블#함박스테이크
#열무무치#아삭이고추된장무침
#원플레이트"
삼청동가는길,https://www.instagram.com/explore/locations/279015328/,bittersweet__diary,4월 27일,2021-04-27T03:24:32.000Z,2021년 4월 27일,"마순있네
#사진은망쳤지만 #안국역 #삼청동 #북촌 #맛집 #맘소리키친 #함박스테이크 #버섯크림파스타 #점심산책 #런치의주영 #먹부림 #먹스타그램 #맛스타그램 #음식사진 #사진에미치다 #사진계정맞팔 #hamburgsteak #lunchmenu"
,,ssunny2113,7월 18일,2021-07-18T03:43:26.000Z,2021년 7월 18일,"서울 함박스테이크 남바완 1인자👍

남산 밑자락 오리엔스호텔에 위치한 경양식 레스토랑🍽

듬뿍 주자구~ 윤여정 선생님의 오랜 단골집으로도 유명하고

육즙 가득한 패티🍔와 사라다🥪가 시그니처 메뉴이지만

오랜 단골들한테만 내어주시는 한식안주들이 킥입니다🙈

미리 연락 안하고 왔다고 급조해주신 게 무려 병어조림..🥺❤️

#그릴데미그라스 #충무로맛집 #남산맛집 #남산데이트
#문썬_충무로 #함박스테이크 #함박스테이크맛집"
,,oneul__table,6월 21일,2021-06-21T11:18:05.000Z,2021년 6월 21일,"오늘의식탁
함박스테이크
.
지난주 햄버거 해먹는다고 고기를 열심히 치대놓고는
냉동실에 넣는걸 깜빡했다😥
비싼고기 버리게 될까 싶어 얼른 꺼내보니 김치냉장고에서 잘 버텨줬다
.
엊그제 부터 미역국이 먹고 싶어 양지 한덩이를 통째로 넣고 뽀얗게 끓였다
나물반찬애 김치하고 먹었어야 하는데,,
오늘까지는 먹어야 하는 함박스테이크 굽고
토마토,양파 한알씩 굵게 다져 내맘대로 소스 만들어 한솥 끓인 미역국하고 한상 차려낸다
.
동생이 담궈준 물김치 먹느라 내가 담군 열무김치가 뒷전 이였는데
매콤하게 어찌 맛이 들었는지
색은 허여멀겋지만,
청양고추 한웅큼 갈아넣은 열무김치가 함박스테이크 맛을 더 살려준다
.
아들은 오늘도 회식~
코로나로 한꺼번에 회식을 못하고 최소인원 4명씩 회식 하려니
끝이 안나네🤣
월욜부터 빡세다😵‍💫😵‍💫
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#집밥#집밥스타그램#온더테이블#플레이팅#요리스타그램#푸드스타그램#식단공유#요리#쿡스타그램#예쁜그릇#도자기그릇#밥상#홈쿡#홈메이드#요리하는여자#오늘의식탁#오늘테이블#함박스테이크"
,,eggplant_nim,7월 14일,2021-07-14T04:41:37.000Z,2021년 7월 14일,먹을게 없는데 먹을게 계속 나오는 신기한 우리집 냉장고...🧊 냉장고 리셋하고싶다 😶‍🌫️
,,___sono.0o,5월 19일,2021-05-19T05:35:01.000Z,2021년 5월 19일,"🧸🍽

今日は韓国は休日‼︎
晴天の中、朝登山して来てブランチに🌼

目玉焼き以外全部作り置き🙂
焼いて置いて終わり👩🏻‍🍳笑

そして洋と韓国のコラボ🤍
ハンバーグと韓国おかず素晴らしく合うんです😂
オッパはもちろんキムチも出して食べてました🙆🏻‍♂️笑

오빠랑 등산 갔다 와서 브런치타임🌼
함박스테이크랑 밑반찬 몇개 꺼내서 냠💛
한국반찬은 참 대단한거 같아
양식에도 일식에도 뭐에도 다 잘 어울려😳🧡ㅋㅋㅋ

#점심 #홈카페 #한일부부 #お家カフェ #日韓夫婦 #콩나물무침 #커피 #ブランチ #요리스타그램 #빵스타그램 #카페스타그램 #브런치 #마늘쫑볶음 #サラダ #昼ごはん #샐러드 #ワンプレート #ホームカフェ #홈카페놀이 #ハンバーグランチ #ランチ #홈브런치 #ハンバーグ #양식 #플레이팅 #함박스테이크 #런치 #홈쿡"
,,honey.so,7월 12일,2021-07-12T11:59:25.000Z,2021년 7월 12일,"오늘의 #함박스테이크 소스는 버터에 양파, 양송이 넣어 볶다가 시판 파스타 소스 한컵, 우스터소스 한 스푼 넣어 만들었다."
Tour Eiffel,https://www.instagram.com/explore/locations/2593354/tour-eiffel/,choi.seo.yoon,6월 3일,2021-06-03T05:21:16.000Z,2021년 6월 3일,"함박스테이크했어요~
즤집 2번 넘 고기를 안먹길래
뭘 해줌 먹을래 했더니~
함박스테이크면 먹겠다고~
열심히 치대고 굽고 소스바글바글 끓였더니
모두 찍먹이라고 절대 붓지 말라고~
부으니 맛있잖아 의심은 많아가지고 ㅎㅎ
요즘 핫한 협곡의 에펠탑 다녀왔어요~
한 예술가의 설치미술인데 일종의 트릭아트? ..하지만 사람이 너무 많고 비매너 사람들이 너무 많아 그냥 대충 찍고 왔네요~
정말 코로나가 뭐냐 싶게 거리에 사람이 너무 많아요~덩달아 저도 가끔 잃어버려요~
그래도 정말 나와 내 가족을 위해 열심히 개인방역을 해야겠다 다짐하는 오늘입니다~

#함박스테이크 #고기먹이기 #소스가제대로 #찍먹 #요리인스타 #집밥스타그램 #홈쿡스타그램 #프랑스일상 #파리생활 #외국생활 #에펠탑 #hambergerstake #homecooking #handmadefood #homerestaurant #francelife🇫🇷 #parislife🇫🇷 #toureiffel"
어디긴 어디야 집이지,https://www.instagram.com/explore/locations/259678515/,kyss808,7월 20일,2021-07-20T06:59:50.000Z,2021년 7월 20일,"우리집 :: 아빠 수제 함박스테이크

근사해보이지만 그렇게 어려운 요리가 아니다.(여름에 더운건 빼고ㅠ) 간단하지만 있어보이는(?) 요리가 필요할 때 추천.!.! 이 게시물 말고 예전에 올린 함박스테이크에 재료가 나와 있으니 원하면 참고하면 된다. 이 날은 간이 너무 적당히 잘 되어 맛있었지만 아빠는 너무 많이 익혀서 퍽퍽하다고 아쉬워하셨다."
,,jachwi_fooood,5분 전,2021-07-31T04:55:11.000Z,2021년 7월 31일,"함박스테이크 샐러드. 뭐든 샐러드와 함께라면 건강 할 것 같은 착각이든다.

#요리스타그램 #요리 #음식 #음식스타그램 #food #foodstagram #foodie #料理 #クッキングラム #먹스타그램 #맛스타그램 #집밥 #집밥스타그램 #자취 #자취요리 #샐러드 #salad #サラダ #自炊 #instafood #instafoodie #식단 #벌크업 #운동 #beef #함박스테이크 #ハンバーグ #홈쿡 #다이어트
#스테이크"
