location_info,location_href,upload_id,date_text,date_time,date_title,main_text
모슬포,https://www.instagram.com/explore/locations/473419533/,motive1215,6월 15일,2021-06-15T03:01:38.000Z,2021년 6월 15일,"비가 오니 #모슬포시장 에서 먹었던
#주전부리 들이 생각나네요. 😋
모슬포시장은 생각보다 컸고
맛있는것들이 매우 많아 이날도 과식했다죠...ㅋ

집에 돌아와 체중 재보니 딱 7kg이 쪘....풉. 😂
오늘부터 다시 식단 들어가려하는데
일단 요 사진들 보며 마음 달래고 있습니다. 흑.. ㅋ ㅋ
세상엔 왜이리 맛있는게 많은건지...🥲
이제 점심으론 곤약면 먹어야죠... ;;
반년만에 다시 시작하는 식단이네요. 💪🏻

#그동안너무맛있게먹었구나 #그래도좋았어😆
#후회없음🤣 #쫄깃통통쌀떡볶이맛있었어 #떡볶이덕후❤️"
봉이호떡,https://www.instagram.com/explore/locations/259470361436883/,lee95yj,7월 20일,2021-07-20T05:45:17.000Z,2021년 7월 20일,".
만인산 #봉이호떡
주말에 줄 어마무시하게 길어서 엄청 기다렸다 먹어야되는데 역시 이런곳은 평일에👍🏻
바삭바삭하고 진짜 존맛탱 ㅠㅠ
날씨 흐리긴한데 시원해서 좋구만🙋🏻‍♀️
.
.
.
.
#먹스타 #먹스타그램 #먹스타소통 #먹스타맞팔 #먹팔 #먹팔해요 #먹팔맞팔 #먹팔환영 #만인산 #만인산자연휴양림 #호떡"
국제시장,https://www.instagram.com/explore/locations/1231713376885036/,yumyum_good3,6월 4일,2021-06-04T00:52:18.000Z,2021년 6월 4일,"🥺안녕하세요! 다들 잘 지내고 계시나요?!오늘 소개 해드릴 음식은 부산에서 먹었던 ‘씨앗 호떡’입미다!!! 🥞

황 설탕을 넣고! 버터? 마가린🧈에 구운 호떡을 반 갈라서 그 사이에 고소하고 바삭한 씨앗을 진짜 양 것 넣어 주시더라고요!! 사실 그리 호떡을 좋아하진 않았던 저에게도 정말 맛있었어요...꼭 다시 먹고 싶어요.. 😋
-
#호떡 #호떡믹스 #씨앗호떡 #길거리음식 #빵 #디저트 #간식 #간식스타그램 #먹스타그램 #먹스타 #먹팔 #먹팔해요 #밀가루 #streetfood #koreastreetfood #dessert #bread #부산호떡 #부산호떡맛집 #먹방 #배고파 #달콤한 #국제시장 #국제시장맛집 #국제시장호떡 #부산씨앗호떡 #쫄깃쫄깃 #자갈치시장맛집 #부산맛집 #부산여행"
남대문시장 Namdaemun Global Market 韓国南大門市場,https://www.instagram.com/explore/locations/784612594982497/namdaemun-global-market/,sohn_34,7월 27일,2021-07-27T05:59:44.000Z,2021년 7월 27일,"갈치조림 먹고 디저트로
남대문시장에서 유명한 남대문명물호떡과 전통찻집을 다녀왔습니다🤗🤗

길거리에서 파는 남대문명물호떡은 상호대로 남대문의 명물 중 하나죠😉

잡채가 들어있는 야채호떡과 견과류가 들어 있는 씨앗호떡이 대표메뉴인데

야채호떡을 주문합니다😊
야채호떡은 종이컵을 잘라서 넣어줍니다😉
겉은 호떡처럼 바삭하면서 안은 잡채가 들어 있는데 맛이 없을 수가 없죠…😋😋
어디서 먹어 보지 못한 기가 막힌 맛입니다😛

전통찻집은 갈치골목 안에 있는데 이곳도 역사가 20년 이상은 된 곳입니다😀

몸에 좋은 십전대보탕이 대표 메뉴입니다😊

작은 공간인데 신기하게 3층까지 있습니다

저는 십전대보탕과 시원한 오미자차를 주문합니다
십전대보탕은 각종 한약을 넣고 약간의 견과류가 올려져 있는데 마시면 마실수록 힘이 나는 느낌입니다💪💪

오미자차는 차갑게 나오는데 소화도 되고 시원하여 더위에 마시기 좋았습니다🍷🍷

남대문 시장에서 식사를 하셨다면
디저트로 호떡집과 전통찻집 방문은 선택이 아닌 필수입니다🤙

이상 남대문시장 디저트 맛집인 남대문 명물 호떡과 전통찻집 리뷰 끝

[추신] 남대문시장의 수입상가는 생필품부터 그릇까지 여전히 판매 제품이 많습니다 코로나 끝나면 구경 가보세요

#맛집추천해주는남자
#맛집여행 #맛집투어그램 #핵존맛 #간식스타그램 #남대문맛집 #전통찻집 #십전대보탕 #오미자차 #호떡 #야채호떡 #남대문명물호떡"
,,bonghyunii,5월 4일,2021-05-04T10:34:11.000Z,2021년 5월 4일,호떡먹고싶다 호떡✨
,,flyingsteak7,6월 20일,2021-06-20T04:30:15.000Z,2021년 6월 20일,"출출하다는 남편 간식으로 #호떡
여름이지만 겨울간식ㅎㅎ

#주말 #간식 #간식스타그램 #여름 #호떡 #주부 #주부스타그램 #먹스타그램 #먹팔 #맞팔 #팔로우 #팔로잉 #소통 #일상 #데일리"
쫄쫄호떡,https://www.instagram.com/explore/locations/204088923420693/,guilty.pleasure27,7월 19일,2021-07-19T02:15:53.000Z,2021년 7월 19일,"#청주 #쫄쫄호떡
-
그리고 청주의 명물이라는 쫄쫄호떡. 날도 무덥고 사실 이런 류의 주전부리를 크게 좋아하지는 않는지라 시큰둥하며 쫓아가서 둘이서 딱 하나 샀는데, 이게 또 기존에 먹어봤던 호떡이랑 전혀 다른 스타일이고 또 딱 내 스타일이던. 공원으로 이어진 좁다란 길목에는 못생겨서 귀여운 쫄쫄이 마스코트가 우뚝 서있고, 이 천원짜리 호떡 사먹겠다고 줄도 제법 길게 늘어서있던. 호떡은 넉살 좋으신 사장님이 이런 저런 얘기하시면서 찰방찰방 튀기고 계셨는데, 한강 같은 기름량에도 불구하고 워낙 깨끗하고 맑아 거부감이 크게 느껴지지 않는다. 노릇노릇 잘 튀겨진 호떡을 두꺼운종이 사이에 끼워 건네주시면 뜨거운 기름이 손쪽으로 흐를 수 있으니 아랫방향 향하게 잘 잡아 잠시 래스팅. 손에 잡히는 식감도 한입 크게 베어물었을 때 식감도 겉은 단단하게 튀겨져 약간 갓 구워낸 일본식 센베 처럼 바작콰작한데 또 안 쪽은 매끈쫀득하면서도 설탕이 사르르 녹아 달콤하다. 좀더 통통한 반죽으로 갓 튀겨낸 공갈빵 같은 느낌. 겉바속촉 식감에 꼬순 단맛 매력이 묘하게 중독적이라, 배부르다 분명 안먹겠다고 해놓고 반이상 뺏어먹게 되던. 세상 친숙한 호떡이라는 음식을 낯선 동네에서 색다른 베리에이션으로 만났는데 그게 또 딱 맘에 들어 더위 뚫고 기다린 보람이 있엇던 간식. ★★★☆
-
🫓#호떡 1000
-
#꿀호떡 #졸졸호떡 #찹쌀호떡 #먹스타그램 #맛스타그램 #청주맛집 #호떡맛집 #성안길맛집 #foodstagram #instafood #foodporn #koreanfoodie #koreanfoods #koreanpancake #hotteok #honeypancakes #gp청주 #gp호떡"
三味糖餅 sammat.tw,https://www.instagram.com/explore/locations/293865801423165/sammattw/,everlasting707,3월 9일,2021-03-09T10:46:13.000Z,2021년 3월 9일,"太想念韓國的糖餅了🥺🥺🥺
之前發現師大有一家賣韓國糖餅的店
終於找時間來了(๑˃̵ᴗ˂̵)و
糖餅真的是韓國口味！好喜歡🧡🧡
店面也可可愛愛

📍 三味糖餅 sammat 삼맛호떡
台北市大安區師大路59巷1-1號
🕑14:00-22:00（週一休）
🚇台北捷運台電大樓站走路5分鐘
🔗 @sammat.official @sammat.tw

#三味糖餅 #韓國糖餅 #糖餅 #호떡 #師大美食 #台北美食 #台北咖啡廳 #台北韓式 #倫倫玩台北 #타이페이"
"Cuorino - Cuoriノ, 쿠오리노",https://www.instagram.com/explore/locations/1836945833088105/cuorino-cuori/,aro_dd,5월 25일,2021-05-25T04:05:08.000Z,2021년 5월 25일,"잘찍노 🙂
.
.
#남포#쿠오리노"
,,petriegarden2020,4분 전,2021-08-05T04:35:49.000Z,2021년 8월 5일,"예전에 가본 점집에서
점쟁이 말이
지금은 힘들어도
노후에는
""""오늘 저녁은 뭘 해먹을까~?""""하는 걱정조차 안하며 편히 살게됩니다

내가 얼마나 뭘 먹을까 고민하고 살면 점괘조차 이모냥일까
점쟁이 참말 용하네~하며 웃었던 기억이난다

#포장비니루벗기기도 구찮
#순대#떡볶이#호떡#꼬불이
#분식#방학점심"
