location_info,location_href,upload_id,date_text,date_time,date_title,main_text
,,riri_chicken,7월 14일,2021-07-13T17:18:16.000Z,2021년 7월 14일,"간만에 #홍합탕

땡초 팍!!!고마~~~확!!🤣
신랑 먹더니
예전 그리도 #포장마차에 많이 갔는데
그때 생각이 나고 #그맛이난다고😌

누구랑 그리 갔을까🤔😆

더운 날 #참고생했다
#소주한잔#홍합탕🍲
애들 재우고 #도란도란#인생이야기

#너와나
#애썼다
#한만큼#벌고#한만큼#인정받자#우리

우리 있자나…아프지 말고…
서로에 곁에 있어주자
고맙다…내 사람이 되어주어서"
,,home_cooks_holic,3월 18일,2021-03-18T13:38:38.000Z,2021년 3월 18일,"#집밥 #외식금지 #홍합탕 #어묵꼬치 #매운홍합탕 #홍합요리 #홍합
.
.
.
트레이더스에서 오랜만에 홍합을 사왔어요🥰🥰
전에 훠궈를 해먹으려고 구매한 반반냄비에다가, 맑은홍합탕과 짬뽕스타일의 매운홍합탕을 동시에 담으니, 술안주로 딱이에요🤣
식자재마트에서 구매한 꼬치어묵도 잘어울려요!!"
,,kuho80,1월 11일,2021-01-11T06:16:24.000Z,2021년 1월 11일,"🥄🥢👨‍🍳👩‍🍳
.
#계란볶음밥
#짜장
#탕수육
#물만두
#홍합탕
다~~~ 맘에든 날👍
계란볶음밥도👍👍
수제탕슉도👍👍👍👩‍🍳이쉪수고함😁
홍합탕도 물만듀도
이번이 짜장 세번째 하는데
이제야 만족함😁
#누가알았나 #내가짜장만들지
#하면되는구나 #기분좋네그랴
#짜장덮밥
-
-
-
-
-
#일상 #소통 #좋아요 #맞팔
#인스타그램 #선팔 #팔로우 #맛집
#직장인점심 #직원식당 #구내식당 #요리스타그램 #점심 #점심식사 #오늘점심 #오늘메뉴는 #급식 #쿡스타그램#푸드스타그램"
Pohang,https://www.instagram.com/explore/locations/244782363/pohang/,__lee.hyuk,5월 7일,2021-05-07T09:46:26.000Z,2021년 5월 7일,"#홍합탕



#포항#포항맛집#주말#불금#금요일#저녁#맛저#홍합#오늘의밥상#집밥#홈쿡#먹#먹스타그램#맛스타그램#먹부림#먹방#먹팔#식단#헬스#헬린이#운동하는남자#운동하는직장인#운동기록#눈바디#일상#먹소통#운동소통"
꿀집포차,https://www.instagram.com/explore/locations/104684011361463/,yom_.in,3월 12일,2021-03-12T00:59:41.000Z,2021년 3월 12일,"#꿀집포차
#홍합탕
#아이셔소주

2층에 위치한 꿀집포차 🍯🍯

홍합탕이 매콤해서 술이 깨고 해장되는 기분 !

이때 유행했던 아이셔소주랑 먹었는데 아이셔소주가 넘 맛났다

소주를 끝없이 먹고싶을땐 얼큰한 홍합탕 잊지마세요 !
-
-
-
-
#경희대맛집 #경희대 #경희대술집 #회기맛집 #회기 #회기술집 #회기역맛집
#맛스타그램 #먹스타그램 #맛스타 #먹스타 #맛집 냠냠 #음식 #음식스타그램 #소통 #소통해요 #선팔하면맞팔 #맞팔 #맞팔해요 #선팔 #instafood #먹스타맞팔 #맛스타맞팔"
,,12_____13,4월 14일,2021-04-14T14:28:07.000Z,2021년 4월 14일,"경주법주쌀막걸리 시음한다는 신랑
#저녁 밥상
다차렸는데 밥이없어서 30초컷 엄마집에서 급구
음식마무리는#깨소금"
,,oneul__table,6월 7일,2021-06-07T11:03:54.000Z,2021년 6월 7일,"오늘의식탁
홍합탕
오삼불고기
더덕구이
.
어제 해산물파스타 하고 애매하게 남은 해산물들 처리로
오삼불고기 하고
홍합탕을 끓였다
.
함초굵은소금 으로만 간을 한 뽀얀국물에 청홍고추 실파 넣어 먹은 홍합탕이 너무 시원하고 맛있다
.
빨간 반찬만 있는것 같아 찐양배추를 곁들여 매운맛을 씻어주고,
더덕구이는 할때마다 인기 탑이다
남편님 맛있는 반찬이 많아 다이어트에 도움이 안된다며 한소리 하신다
.
얼추 아들 퇴근시간이 맞을것 같아
톡을 보냈더니
첫날부터 회식이란다
.
엄마사람 낼 아침 먹을 콩나물국 이라도 끓여놔야 하는거니??😅
.
.
.
.
.
.
.
.
.
.
.
.
#집밥#집밥스타그램#온더테이블#플레이팅#요리스타그램#푸드스타그램#식단공유#요리#쿡스타그램#예쁜그릇#도자기그릇#밥상#홈쿡#홈메이드#요리하는여자#오늘의식탁#오늘테이블#오삼불고기
#더덕구이#홍합탕"
,,grrr3000_,1월 27일,2021-01-27T00:14:41.000Z,2021년 1월 27일,"°
🍴홍합국, 국산콩두부숙회, 김치볶음, 꽈리고추볶음, 야채건강쥬스, 갓김치, 통마늘구이샐러드, 아임리얼
.
.
#오늘의메뉴 #음식스타그램 #급식 #식판샷 #식단기록 #조리사그램 #단체급식 #식단 #아침밥상 #맛있당 #급식스타그램 #영양사그램 #메뉴 #홍합탕 #두부 #두부김치"
,,m.yonggil,7월 9일,2021-07-09T12:01:08.000Z,2021년 7월 9일,"불금. 팟파랑
아내와함께 문어초회먹고싶어서 ㅋ
문어랑 홍합탕의 만남 최고
맛파랑 화이팅~

#평생친구 #아내와함게 #문어초회 #홍합탕"
,,_heejungs2,12분 전,2021-08-06T11:05:13.000Z,2021년 8월 6일,"어제 (제주막걸리) - 오늘 (테슬라)
.
.
#술스타그램 #해물파전 #육전 #흑돼지꼬치 #홍합탕 #제주맛집
#서구청맛집 #연탄집 #뼈삼겹 #주먹고기 #테슬라"
