location_info,location_href,upload_id,date_text,date_time,date_title,main_text
횡계 황태회관,https://www.instagram.com/explore/locations/499682660/,im_seoul_,1월 18일,2021-01-18T02:39:44.000Z,2021년 1월 18일,#평창 #황태회관 #황태회관1번지 #황태구이 #황태해장국 #대관령 #대관령맛집 #평창맛집 #평창여행 #황태구이맛집 #황태맛집 #맛집 #맛집탐방 #맛스타그램 #먹방 #먹스타그램 #냠냠 #먹부림 #ファンテ会館#平昌 #ファンテヘジャンクッ #スケトウダラ焼き #グルメ #満腹 #美味しい#お腹いっぱい
연남그곳,https://www.instagram.com/explore/locations/106142427467877/,god.oc,2020년 10월 22일,2020-10-21T23:36:56.000Z,2020년 10월 22일,"정열적으로 후딱 짬내서 들린 수빈이네.
버킷햇 예약해 놓은거 나왔다 해서 품절 되기 전에 후딱 갔네.
@soobaak_vintage #svcbuckethat #버킷햇

수빈이네 구내식당 황태해장국이랑 소고기무국 아주 좋았다네.
#연남그곳 #황태해장국 #소고기무국

요즘 많은분들이 방문해주셔서, 바쁜일상중이라 인스타느림...🙏
#수박빈티지 #연남동데이트 #연남동 #수빈 #엘엘빈
#브라운오씨 #트위드자켓 #네이비블레이져 #옥스포드 #6버튼셔츠 #드레익스 #울타이 #아나토미카 #치노팬츠 #와쿠와덱슈즈 #brownoc #tweed #navyblazer #ocbd #anatomica #drakes #wakouwa #soobakvintage #llbean"
황태뚝배기해장국,https://www.instagram.com/explore/locations/1890122164566784/,yj_mark,7월 23일,2021-07-23T06:09:07.000Z,2021년 7월 23일,"#연슐랭가이드
_

| 공덕 - 황태 뚝배기 해장국
' 보양식 한 그릇 먹는 느낌 '

_
여긴 진짜 비밀스팟인데
드디어 연슐랭가이드에서 공유합니다 :)

여름철 다양한 보양식이 있지만
황태로 보양해보셨나요?
매우 친숙하면서 익숙한 재료이지만,
황태로도 보양이 가능합니다.

메뉴는 단촐하게 딱 3가지
'황태해장국' , '황태만두국' , '황태냉면'

이곳의 황태 해장국은 정말 달라요.
곰국같이 진하고 깊게 우려낸
구수한 황태육수가 일품입니다.
또한 푸짐하게 올려주는 황태살덕분에
고기 부럽지 않는 풍성한 식감은 감동 자체입니다.

그리고 지금만 먹어볼 수 있는 황태냉면은
어디서도 이 맛을 만나기 힘드실거에요.
황태베이스의 새콤달콤한 육수와
황태살과 같이 먹는 면까지...환상적입니다.

공덕과 마포사이에 진짜 숨은 맛집,
'황태'로 보양하시는건 어떠세요?

🍯 tip) 부추무침을 해장국에 넣어드세요!
_

📍 서울 마포구 토정로37길 46 정우빌딩 B1
⏰ 평일 09:00-19:30 ( Last Order 기준 )
⏰ 토요일 08:00-14:00 ( Last Order 기준 )
🔖 브레이크타임 14:00-17:30
🔖 전화예약 불가하고 현장주문 가능
🔖 점심에는 웨이팅이 발생해요! 조금 서두시길 바랍니다!
🔖 주차 정산 가능합니다!
🔖 공덕역과 마포역 사이에요!"
황태회관,https://www.instagram.com/explore/locations/1174030/,apfelwein1183,5일 전,2021-08-01T04:05:57.000Z,2021년 8월 1일,".
.
.
#황태회관

여기는 전여친이랑 10년 전에 와서
너무 맛있게 잘 먹고 간 곳.ㅋ

10년전 클스마스 이브에 대관령에 폭설 소식을 듣고
당일 바로 숙소 예약해서 강원도로 온.ㅎㅎ

와인의 ‘와’자도 모를때
마트에서 1865 까쇼 추천받아 한병 사들고

밤 9시에 도착해서 엄청 추운 야외바베큐장에서 바베큐하고
벽난로에 장작태워가며 통나무 산장에서 하룻밤 묵고
다음날 아침에 여기에 속 풀러 왔던.

그때나 지금이나 황태해장국이랑 황태구이는 맛있네.

그 전여친이랑 올해 10주년.ㅋ

#대관령맛집 #알펜시아맛집 #평창맛집 #황태해장국 #황태구이"
진부령,https://www.instagram.com/explore/locations/152528041515488/,chefcrystalkim,4월 20일,2021-04-20T12:33:00.000Z,2021년 4월 20일,"⛰ 굽이굽이 아름다운 진부령고개를 넘어서 도착한 #용바위식당 #황태해장국 #황태구이 맛있게 즐기고 왔습니다.

진부령쪽, 인제, 양양쪽 가시는 길이라면 용바위식당 추천합니다. 진솔한? 가정식 반찬과 과하게 달지않은 적당한 양념으로 황태구이를 만들고, 황태뼈를 오랜시간 고와서 끓인 뽀얀 육수에 듬뿍 들어있는 황태가 매력적인 식당 이였습니다. 모든 음식에서 느껴지는 과하지 않은 맛! 담백한 집밥 느낌이 참 좋았습니다 😊"
수서역,https://www.instagram.com/explore/locations/244158860/,youn1509,5월 13일,2021-05-13T09:46:08.000Z,2021년 5월 13일,"수서역 맛집인듯

어르신들이 엄청 많다
밑반찬도 맛나고 ㅋ 😊
.

#파전 #황태찜 #황태해장국 #황태명가 #수서역맛집 #맛스타그램 #먹스타그램 #술스타그램 #맛집스타그램 #민속마을황태명가"
우리집,https://www.instagram.com/explore/locations/236618648/,88_purple_88,1월 17일,2021-01-17T04:30:02.000Z,2021년 1월 17일,"집밥[황태해장국]

뚝딱박사님🥸 이라고 불러줘서 고마워.

소잡은 다음날은,
정육점 식구들 회식이 있기 마련이에요.
어제 엄마아빠랑 고기구워서 달리고🏃‍♀️🏃🏼
#한우마을정육점

찐 해장이 필요한 아침....!
게으름뭉기적 누워만 있으니
김스방 배꼽시계 알람소리가 퍽 시끄럽습니다 ⏲🧨💣

황태포 마지막 봉지 털어넣는 날만
잔뜩 맛볼 수 있는 부스러기 서비스💜
덕분에 국물이 더 진하게 우러나고요~

다시마, 무우, 콩나물, 청양고추, 새우젓, 양파, 후추
친구들 만나면 더 업그레이드 되지요~🍲

에쿠머니,
냉동밥이 하나뿐이군. 🤔

어제 #평양면옥 에서 포장해온 만두 한 알씩 넣어드려요~🥟

국물이..!
아 진짜, 국물이....!!
👍👍👍

대접째 후루룩 국물 두 번 들이키니
해장종료 ✌️

자 이제, 반성도 좀 하고.
다시 관리모드 시동겁시다 🙄😌

#경기#고양#일산#백석#우리집#집밥#해장#황태해장국#용대리#황태포#매일먹어도좋은콩나물#무우나물#고사리나물#갓김치#김치찌개#만두국인듯황태국인듯#해장맛집#이집해장잘하네#정육점가족#회식다음날의풍경#뚝딱박사님표#해장국#속풀림주의#돌고래씨🐬"
집콕,https://www.instagram.com/explore/locations/528013372/,mat.zeom,2020년 12월 22일,2020-12-22T01:24:42.000Z,2020년 12월 22일,".
오늘의메뉴🍴
황태라면🤤
.
◽️접시 : Emile Henry◽️
.
✔️재료
황태포 20g 마늘 3개 대파 30g 청양고추 2개
진라면 매운맛 1봉지 계란 1개 콩나물 한줌
김가루
.
✔️양념
참기름 4T 새우젓 0.5T
.
Recipe✍️
1. 황태포를 물에 적셔주세여.
2. 팬에 참기름과 식용유를 1:1비율로 넣어주세요.
3. 물에 적신 황태를 팬에 볶아주세요. (중불)
4. 1분정도 익혀주신 후 다진마늘, 대파를 넣어 함께 볶아주세요.
5. 중약불에서 2분정도 볶은 후 물 550ml를 넣어주세요.
6. 강불로 올려주시고 새우젓, 건더기스프, 분말스프를 넣어주세요.
7. 물이 끓어오르면 계란, 콩나물, 면을 넣어주세요.
8. 3~4분간 익혀주시고 청양고추와 김가루를 얹어주시면 완성!"
,,mindols_table,2020년 9월 29일,2020-09-29T00:19:52.000Z,2020년 9월 29일,"⠀
언제 이렇게 가을이 왔을까요? 🍁
사계절 중 가장 좋아하는 계절, 가을
⠀
아무런 사연 없는데 괜히 가을바람에
마음까지 살랑살랑하는 것 같아요💛
⠀
무튼, 오늘 아침은 바깥양반👨🏻 최애
오리불고기, 담백한 애호박황태해장국
간단히 차려놓고 둘이서 삶동이 이야기
⠀
극초기에는 오로지 내 건강, 내 마음만
걱정하고 보살피던 바깥양반의 관심이
삶동이 보고 오면 점점 삶동이에게로만
간 것 같아서.. 조금 많이 개운해요 😍
⠀
그래도 항상 고마워, 진짜 물 한 방울
안 묻게 모든 집안일 알아서 다 해주고
근데 입만 웃지 말고 눈도 같이 웃어야지
⠀"
,,all_night_east_2,3시간 전,2021-08-06T02:12:43.000Z,2021년 8월 6일,"목요일 야구 땜시 술드신분 많은가?

#황태해장국"
