title,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
1955버거,튀김,집,콜라,치킨,보라,빵,아침,사진,운동,배달
가츠동,밥,연어,사케,배달,초밥,비,김치,계란,새우,우동
간장게장,게장,꽃게,밥,새우,양념,집,간장,집밥,게국지,진해
간짜장,짜장면,짜장,비,밥,집,면,여행,볶음밥,한번,짜파게티
감바스,새우,밀,캠핑,집,카페,집밥,치즈,마늘,비,샐러드
감자짜글이,밥,집밥,양파,볶음,가지,고추장,간장,대파,물,밥상
감자통모짜핫도그,치즈,고구마,체다,떡,구마,폭탄,휴게소,집,배달,최애
고구마돈가스,고구마,치즈,밥,우동,가게,샐러드,등심,아침,여름,생
고르곤졸라피자,고르곤졸라,치즈,카페,파네,샐러드,크림,쭈꾸미,꿀,집,고르곤
고추잡채,잡채,고추,꽃빵,집밥,밥,집,고기,반찬,볶음,술
군만두,집,집밥,김치,밥,튀김,짜장면,비,치킨,국물,손
굴비구이,굴비,곱창,생선,집밥,밥,볶음,밥상,굴,참조기,선물
그릭샐러드,샐러드,그릭,치즈,페타,드레싱,아침,카페,브런치,여름,레몬
김치볶음밥,김치,밥,볶음밥,집밥,아침,치즈,밥상,집,신혼,분
김치전,전,김치,집밥,술,캠핑,밥,오징어,휴가,집,볶음
김치찌개,집밥,고기,김치,갈비,밥,돼지고기,집,생,숙성,돼지
까르보나라돈가스,동해,브라운,집,육아,고기,샐러드,매콤,치즈,해물,등심
깐쇼새우,새우,서면,짜장면,튀김,교동,술,펜션,동파육,대구,양념
깐풍기,치킨,새우,배달,짜장면,매니아,추가,집,튀김,밥,바삭
꿔바로우,탕,바,꼬치,마라샹궈,배달,여기,가지,고기,집,튀김
나베,술집,포,밥,서면,밀푀유,양정,술,참치,송상현,광장
나폴리피자,바,닭,치즈,샐러드,가슴,남자,아버지,운동,엔,프렌치
낚지볶음,볶음,낙지,집,밥,집밥,여행,반찬,휴가,여름,배달
난자완스,술,볶음밥,집,새우,밥상,짜장면,향,완자,잡채,고추
냉면,면,여름,집,평양,고기,풍년,갈비,밀면,면옥,옥
냉소바,소바,참깨,고등어,참다랑어,매콤,분,들기름,여름,여행,동동
누드김밥,참치,롤,밥,연어,잡채,집밥,계란,뭐,줌,참기름
닭발,국물,젓갈,무뼈,술,기절,밥,추가,그냥,집,당면
닭볶음탕,닭,춘천,집밥,밥,캠핑,볶음,빵,탕,밥상,닭발
더블불고기버거,치즈,튀김,콜라,패티,치킨,집,운동,필레,배,팔
더블불고기피자,치즈,배달,치킨,고구마,림프,갈릭,서면,맘,튀김,집
데리버거,새우,튀김,치킨,콜라,김치,치즈,아들,엄마,맘,먹기
덴동,튀김,밥,새우,집,그릇,남천동,소바,비,온센,김
돈가스카레덮밥,밥,연어,포장,배달,서울,새우,치킨,집밥,우동,소고기
돈까스김치나베,김치,집밥,치즈,밥,집,양파,우동,계란,밥상,물
돈부리,밥,배달,사케,소바,연어,포장,뭐,판교,낮술,계란
돈코츠라멘,집,면,밥,돈,홍대,추가,소바,좀,마늘,가라아게
돼지갈비찜,돼지,갈비,고기,양념,집밥,반찬,밀,캠핑,밥,배달
돼지국밥,국밥,순대,포항,미미,맘,배달,돈,고기,육,국물
된장찌개,집밥,된장,밥,집,볶음,고기,밥상,반찬,청국장,호박
두루치기,교대,김치,집,회관,밥,돼지,집밥,반찬,배달,볶음
등심돈카츠,등심,치즈,우동,정돈,튀김,치킨,목포,광교,돈,밥
떡갈비,밥,반찬,집,치즈,담양,고기,집밥,헌,명란,옥
떡라면,떡,집밥,계란,집,휴게소,떡국,김치,밥,전복,아침
라면,볶음,집,계곡,오뚜기,휴가,여름,집밥,뭐,여행,운동
라볶이,어묵,밥,떡,집,국물,계란,치즈,치킨,김치,탕
로제떡볶이,배달,닭강정,떡,치즈,국물,우유,술,크림,튀김,집
로제파스타,카페,크림,치즈,브런치,샐러드,밀,새우,재료,집,밥
류산슬,새우,짜장면,밥,슬,멘보샤,잡채,깐풍기,볶음밥,목란,고추
마르게리타,대구,카페,고르곤졸라,집,가족,포르마,샐러드,치즈,서울,브런치
마제소바,소바,밥,면,바,휴가,여름,추가,김해,집,후
마파두부,밥,집밥,볶음,마파,가지,반장,집,반찬,파,물
만두,김치,집밥,집,고기,닭,국물,강아지,튀김,치즈,새우
만두라면,김치,집밥,해장,계란,밥,캠핑,집,아침,실비,떡
매운카레돈가스,지민,치즈,아들,낮잠,겨울,겨우,어제,바람,얼른,서울
메밀국수,소바,담양,들기름,집,곰표,비빔,면,팩,집밥,동치미
명량한세트,치즈,먹물,체다,고구마,갈비,배달,조합,집,폭탄,설탕
모듬초밥,초밥,연어,새우,연어초밥,회,배달,집,우동,포장,참치
모리소바,소바,집,우동,튀김,향,여름,면옥,치즈,무,면
몬스터와퍼,새우,패티,치즈,치킨,배달,튀김,매콤,팩,번,킹
물회,전복,강릉,포항,휴가,문어,초밥,망고,속초,여행,여름
미소라멘,집,규동,영등포,홍대,면,밥,추가,무조건,좀,가게
미역국,밥,집밥,볶음,밥상,엄마,반찬,아침,소고기,축하,남편
바지락칼국수,바지락,비,국물,집,집밥,해독,엄마,맘,해물파전,배
베이컨토마토디럭스,치킨,운동,콜라,배달,웹툰,그림,툰,튀김,판타지,낙서
보쌈,족발,김치,집,배달,고기,비,캠핑,고객,술,신규가입
볶음밥,곱창,밥,닭,가슴,새우,닭갈비,집,집밥,계란,야채
봉골레파스타,봉골레,바지락,찜닭,브런치,샐러드,카페,집밥,면,죽,홍대
부대찌개,집,배달,캠핑,햄,집밥,탕,밥,밴쿠버,구미,재료
부침개,전,집밥,애호박,반찬,집,비,김치전,엄마,술,오징어
불고기,고기,집밥,갈비,밥,기간,한우,치즈,빵,등심,사용
불싸이버거,치즈,치킨,튀김,치즈볼,배달,콜라,엄마,매콤,새우,운동
비빔국수,면,집밥,집,돼지,간장,비빔,여름,김치,고기,소면
비빔밥,밥,집밥,야채,호두,김치볶음밥,볶음밥,쿠키,치마,샌드위치,떡
빅맥,콜라,치킨,사진,집,빵,배달,휴가,팔,반죽,숙성
사천짜장,짜장,짜장면,닭,밥,매콤,사천,볶음밥,집,가슴,배달
삼선짜장,짜장면,짜장,집,면,새우,배달,해물,삼선,밥,마곡
상하이어니언버거,어니언,양파,튀김,패티,치킨,신상,집,콜라,굿,바삭
새우버거,새우,패티,골프,서면,포장,먹기,탑,강릉,담,와사비
새우볶음밥,볶음밥,새우,밥,집밥,마켓,아침,버터,집,휴가,쿠캣
샐러드,샌드위치,운동,치즈,유지,카페,크림,배달,닭,빵,새우
생선가스,생선,집밥,볶음,반찬,집,치즈,샐러드,밥,배달,튀김
소고기무국,소고기,무국,볶음,밥,집밥,국,반찬,밥상,조림,무
소고기순두부찌개,소고기,집밥,반찬,밥상,볶음,밥,맘,집,계란,술
